state,code,total_electoral_vots,biden,trump
Alabama,AL,9,0,9
Alaska,AK,3,0,3
Arizona,AZ,11,11,0
Arkansas,AR,6,0,6
California,CA,55,55,0
Colorado,CO,9,9,0
Connecticut,CT,7,7,0
Delaware,DE,3,3,0
District of Columbia,DC,3,3,0
Florida,FL,29,0,29
Georgia,GA,16,16,0
Hawaii,HI,4,4,0
Idaho,ID,4,0,4
Illinois,IL,20,20,0
Indiana,IN,11,0,11
Iowa,IA,6,0,6
Kansas,KS,6,0,6
Kentucky,KY,8,0,8
Louisiana,LA,8,0,8
Maine,ME,4,3,1
Maryland,MD,10,10,0
Massachusetts,MA,11,11,0
Michigan,MI,16,16,0
Minnesota,MN,10,10,0
Mississippi,MS,6,0,6
Missouri,MO,10,0,10
Montana,MT,3,0,3
Nebraska,NE,5,1,4
Nevada,NV,6,6,0
New Hampshire,NH,4,4,0
New Jersey,NJ,14,14,0
New Mexico,NM,5,5,0
New York,NY,29,29,0
North Carolina,NC,15,0,15
North Dakota,ND,3,0,3
Ohio,OH,18,0,18
Oklahoma,OK,7,0,7
Oregon,OR,7,7,0
Pennsylvania,PA,20,20,0
Rhode Island,RI,4,4,0
South Carolina,SC,9,0,9
South Dakota,SD,3,0,3
Tennessee,TN,11,0,11
Texas,TX,38,0,38
Utah,UT,6,0,6
Vermont,VT,3,3,0
Virginia,VA,13,13,0
Washington,WA,12,12,0
West Virginia,WV,5,0,5
Wisconsin,WI,10,10,0
Wyoming,WY,3,0,3
